movie	42	2013
actor	Derian, Ed	A Bronx Tale	1993	Fight Announcer
actor	Domey, Greg	A Bronx Tale	1993	Satan's Messengers
actor	Fischer, Fred	A Bronx Tale	1993	JoJo the Whale
actor	Foglia, Phil	A Bronx Tale	1993	Detective Vella
actor	Ford, Thomas A.	A Bronx Tale	1993	Phil the Peddler
actor	Garbarino, Philip	A Bronx Tale	1993	Sonny's Killer
actor	Garcia, Butch	A Bronx Tale	1993	Satan's Messengers
actor	Genovino, Max	A Bronx Tale	1993	Louie Dumps
actor	Gioia, Louis	A Bronx Tale	1993	Last Rites Priest
actor	Graell, Antonio	A Bronx Tale	1993	Jockey
actor	Grant, Darell	A Bronx Tale	1993	Doo Wop Group (School)
actor	Guardino, Larry	A Bronx Tale	1993	Bartender
actor	Hurst, Sonny	A Bronx Tale	1993	Satan's Messengers
actor	Kendall, Steve	A Bronx Tale	1993	Red Beard
actor	Kolpan, Mitch	A Bronx Tale	1993	Detective Belsik
movie	A League of Their Own	1992
director	Marshall, Penny	A League of Their Own	1992
actress	Niemeyer, Shelly	A League of Their Own	1992	Additional Player
actress	O'Donnell, Rosie	A League of Their Own	1992	Doris Murphy - 3rd Base
actress	Pelton, Patti	A League of Their Own	1992	Marbleann Wilkenson - 2nd Base
actress	Petty, Lori	A League of Their Own	1992	Kit Keller
actress	Pilavin, Barbara	A League of Their Own	1992	Older Helen
actress	Pounds-Taylor, Connie	A League of Their Own	1992	Connie Calhoun - Outfield
actress	Ramsay, Anne	A League of Their Own	1992	Helen Haley - 1st Base
actress	Leoni, Téa	A League of Their Own	1992	Racine 1st Base
actress	Madonna	A League of Their Own	1992	Mae Mordabito
actress	Marshall, Kathleen	A League of Their Own	1992	'Mumbles' Brockman - Outfield
actress	McLin, Eugenia	A League of Their Own	1992	Older Ellen Sue
actress	Miller, Betty	A League of Their Own	1992	Older Betty
actress	Szmidt, Sharon	A League of Their Own	1992	Vivian Ernst - 2nd Base
actress	Walker, Amanda	A League of Their Own	1992	Additional Player
actress	Watson, Brenda	A League of Their Own	1992	Additional Player
actress	Weingardt, Ellie	A League of Their Own	1992	Charm School Instructor
actress	Wilson, Patricia	A League of Their Own	1992	Older Marla
actress	Reiner, Tracy	A League of Their Own	1992	Betty 'Betty Spaghetti' Horn - Left Field
actress	Rutherford, Sally	A League of Their Own	1992	Additional Player
actress	Schmitt, Lita	A League of Their Own	1992	Additional Player
actress	Schram, Bitty	A League of Their Own	1992	Evelyn Gardner - Right Field
actress	Simpkins, Kelli	A League of Their Own	1992	Beverly Dixon - Outfield
actress	Simpson, Freddie	A League of Their Own	1992	Ellen Sue Gotlander - Shortstop/Pitcher
actress	Dries, Dolores 'Pickles'	A League of Their Own	1992	Lady in Bleachers
actress	Erwin, Barbara	A League of Their Own	1992	Older Shirley
actress	Ferrari, Brenda	A League of Their Own	1992	Racine Catcher
actress	Gretick, Kirsten	A League of Their Own	1992	Additional Player
actress	Gustaferro, Stacey	A League of Their Own	1992	Additional Player
actress	Hand, Lisa	A League of Their Own	1992	Additional Player
actress	Hodgen, Joette	A League of Their Own	1992	Opera Singer
actress	Johnson, Vera	A League of Their Own	1992	Older Doris
actress	Jones, Cheryl	A League of Their Own	1992	Additional Player
actress	Jones, Janet	A League of Their Own	1992	Racine Pitcher
actress	Knight, Robin	A League of Their Own	1992	'Beans' Babbitt - Shortstop
actress	Koch, Tonya Gilles	A League of Their Own	1992	Additional Player
actress	Adlard, Shelly	A League of Their Own	1992	Additional Player
actress	Allen, Rae	A League of Their Own	1992	Ma Keller
actress	Anderson, Eunice	A League of Their Own	1992	Older Mae
actress	Baron, Blaire	A League of Their Own	1992	Margaret
actress	Brailsford, Pauline	A League of Their Own	1992	Miss Cuthbert
actress	Burkovich, Shirley	A League of Their Own	1992	Older Alice
actress	Buse, Vickie	A League of Their Own	1992	Additional Player
