actor	Frederickson, Gray	1941	1979	Lt. Bressler
actor	Frishman, Brian	1941	1979	USO Goon
actor	Fuller, Samuel	1941	1979	Interceptor Commander
actor	Gorman, Brad	1941	1979	USO Nerd
actor	Hamilton, Murray	1941	1979	Claude Crumn
actor	Hardin, Jerry	1941	1979	Map Man
actor	Houston, Robert	1941	1979	Maddox's Soldier
actor	Aykroyd, Dan	1941	1979	Sgt. Frank Tree
actor	Beagle, E. Hampton	1941	1979	Phone Man
actor	Beatty, Ned	1941	1979	Ward Douglas
actor	Belushi, John	1941	1979	Capt. Wild Bill Kelso
actor	Brian, Jordan	1941	1979	Macey Douglas
actor	Calfa, Don	1941	1979	Telephone Operator
actor	Cameron, Dave	1941	1979	Reporter
actor	Candy, John	1941	1979	Pvt. Foley
actor	Carenzo, Vito	1941	1979	Vito - Shore Patrol
actor	Carlton, Mark	1941	1979	Stilwell Aide
actor	Cervantes, Gary Carlos	1941	1979	Zoot Suiter
actor	Cloud, Paul	1941	1979	Stilwell Aide
actor	Contreras, Luis	1941	1979	Zoot Suiter
actor	Cook Jr., Elisha	1941	1979	The Patron (Dexter)
actor	Taylor, Dub	1941	1979	Mr. Malcomb
actor	Tennant, Andy	1941	1979	Babyface
actor	Thibeau, Jack	1941	1979	Stilwell Aide
actor	Thompson, Galen	1941	1979	Stilwell Aide
actor	Verroca, Frankie	1941	1979	USO Nerd
actor	Voldstad, John	1941	1979	USO Nerd
actor	Williams, Treat	1941	1979	Cpl. Chuck 'Stretch' Sitarski
actor	Wolfington, Iggie	1941	1979	Meyer Mishkin
actor	Zika, Christian	1941	1979	Stevie Douglas
actor	Rourke, Mickey	1941	1979	Reese
actor	Rydbeck, Whitney	1941	1979	Daffy
actor	Scott, Donovan	1941	1979	Kid Sailor
actor	Shimizu, Hiroshi	1941	1979	Ito
actor	Silva, Geno	1941	1979	Martinez
actor	Stack, Robert	1941	1979	Maj. Gen. Joseph W. Stilwell
actor	Stander, Lionel	1941	1979	Angelo Scioli
actor	Deezen, Eddie	1941	1979	Herbie Kazlminsky
actor	Di Cicco, Bobby	1941	1979	Wally Stephens
movie	28 Days	2000
director	Thomas, Betty	28 Days	2000
actress	Pankow, Joanne	28 Days	2000	Saleslady/Night Tech
actress	Payne, Kathy	28 Days	2000	Aunt Helen
actress	Perkins, Elizabeth	28 Days	2000	Lily
actress	Pratt, Wendee	28 Days	2000	Elaine
actress	Ladd, Diane	28 Days	2000	Bobbie Jean
actress	Martindale, Margo	28 Days	2000	Betty
actress	McGuire, Maeve	28 Days	2000	Groom's Mother
actress	Warrick, Brittani	28 Days	2000	Traci
actress	Yates, Suellen	28 Days	2000	Andrea's Mother
actress	Reilly, Corinne	28 Days	2000	Vanessa
actress	Jean-Baptiste, Marianne	28 Days	2000	Roshanda
actress	Krebs, Susan	28 Days	2000	Evelyn
actress	Bullock, Sandra	28 Days	2000	Gwen Cummings
actress	Chang, Christina	28 Days	2000	Bridesmaid
actress	Chapman, Judith	28 Days	2000	Deirdre in Soap Opera Cast
actress	Davis, Suzanne	28 Days	2000	Darian in Soap Opera Cast
actress	Deane, Meredith	28 Days	2000	Young Lily
actress	Ruscio, Elizabeth	28 Days	2000	Mom
actress	Scharf, Katie	28 Days	2000	Young Gwen
actress	Skye, Azura	28 Days	2000	Andrea
actress	Sutton, Lisa	28 Days	2000	Dr. Stavros
actor	McCary, Rod	28 Days	2000	Dr. Griffin Hartley in Soap Opera Cast
actor	Moody, Jim	28 Days	2000	Chauffeur
actor	Mortensen, Viggo	28 Days	2000	Eddie Boone
actor	O'Malley, Mike	28 Days	2000	Oliver
actor	Pervis, Adam	28 Days	2000	Younger Boy at Gas Station
actor	Kelley, Elijah	28 Days	2000	Darnell
actor	Anagnos, Bill	28 Days	2000	NY Cabdriver
actor	Armstrong, Jack	28 Days	2000	Falcon in Soap Opera Cast
actor	Buscemi, Steve	28 Days	2000	Cornell
actor	Byrd, Dan	28 Days	2000	Older Boy at Gas Station
actor	Dolan, Andrew	28 Days	2000	Groom
actor	Dooly, Mike	28 Days	2000	Marty
actor	Taylor, Frank Hoyt	28 Days	2000	Equine Therapist
actor	Tudyk, Alan	28 Days	2000	Gerhardt
actor	Wainwright III, Loudon	28 Days	2000	Guitar Guy
actor	West, Dominic	28 Days	2000	Jasper
actor	Reitz, Ric	28 Days	2000	Father at Gas Station
actor	Santoni, Reni	28 Days	2000	Daniel
movie	42	2013
director	Helgeland, Brian	42	2013
actress	Moyé, Denise	42	2013	Older Woman
actress	Metzger, Janet	42	2013	Jane Ann
actress	Michaell, Monnae	42	2013	Mallie
actress	Tylor, Jud	42	2013	Laraine Day
actress	Sandy, Zarha	42	2013	Bowman's Cafe
actress	Foreman, Karole	42	2013	Duff Harris
actress	Griffis, Rhoda	42	2013	Miss Bishop
actress	Jakle, Kelley	42	2013	Alice
actress	Beharie, Nicole	42	2013	Rachel Robinson
actress	Boothe, Cherise	42	2013	Ed's Mother
actor	Large, Luke	42	2013	Baseball Player
actor	Lauderdale, Brian	42	2013	Baseball Player
actor	Law, Keith	42	2013	Baseball Player
actor	Linklater, Hamish	42	2013	Ralph Branca
actor	Loderhose, Ben	42	2013	Baseball Player
actor	Luken, Jesse	42	2013	Eddie Stanky
actor	Mackenzie, Peter	42	2013	Happy Chandler
actor	McBee, Mitchell	42	2013	Baseball Player
actor	McGinley, John C.	42	2013	Red Barber
actor	Meloni, Christopher	42	2013	Leo Durocher
actor	Mengini, Dan	42	2013	Spectator One
actor	Merriman, Ryan	42	2013	Dixie Walker
actor	Miller, Gary	42	2013	Umpire Five
actor	Moore, Kirklan	42	2013	Baseball Player
actor	Mullins, Andrew C.	42	2013	Umpire Three
actor	Nellist, Marc	42	2013	Baseball Player
actor	Nitkowski, C.J.	42	2013	Dutch Leonard
actor	O'Brien, Clint	42	2013	Hugh Casey
actor	Paul, Andrew	42	2013	Baseball Player
actor	Pesi, Gino Anthony	42	2013	Joe Garagiola
actor	Phillips, Derek	42	2013	Bobby Bragan
actor	Pickens Jr., James	42	2013	Mr. Brock
actor	Pinkston, Friedel	42	2013	Birmingham Catcher
actor	Rackley, James	42	2013	Phillie One
actor	Radcliff, Darren	42	2013	Baseball Player
actor	Suttle, Barry	42	2013	Roosevelt Home Umpire
actor	Sweeney, David	42	2013	Fan Two
actor	Tavernaro, Richard	42	2013	Deland Umpire
actor	Taylor, Jeremy Ray	42	2013	Boy
actor	Thoms, David	42	2013	Enos Slaughter
actor	Tudyk, Alan	42	2013	Ben Chapman
actor	Vinson, Danny	42	2013	Eddie Dyer
actor	Walker, Jackson	42	2013	Jimmy Powers
actor	Willingham, Justin	42	2013	Baseball Player
actor	Wilson, Todd	42	2013	Reporter Four
actor	Roberts, Andrew B.	42	2013	Ball One Umpire
actor	Ruehling, Jamie	42	2013	Spider Jorgensen
actor	Sanders, Blake	42	2013	Gene Hermanski
actor	Sawyer, Danny	42	2013	Baseball Player
actor	Sharrock, Jake	42	2013	Baseball Player
actor	Smith, Jayson Warner	42	2013	White Gas Station Attendant
actor	Spears, Dennis A.	42	2013	Umpire Four
actor	Stewart, Jack	42	2013	Baseball Player
actor	Farb, Aaron	42	2013	Phillie Two
actor	Fenlon, Daniel	42	2013	Babe Hamburger
actor	Finn, Tobias Michael	42	2013	Panamanian Kid
actor	Flaman, William	42	2013	Cracker
actor	Ford, Harrison	42	2013	Branch Rickey
actor	Fowler, Barry	42	2013	Baseball Player
actor	Friedman, Henry	42	2013	Freckles
actor	Allen, Tucker	42	2013	Baseball Player
actor	Beam, Chance	42	2013	Baseball Player
actor	Beyer, Brad	42	2013	Kirby Higbe
actor	Black, Lucas	42	2013	Pee Wee Reese
actor	Blinder, Ari	42	2013	Photographer
actor	Boseman, Chadwick	42	2013	Jackie Robinson
actor	Brooks, Matthew	42	2013	Baseball Player
actor	Brown, Dusan	42	2013	Ed Charles
actor	Callaway, Scott	42	2013	Andy Seminick
actor	Cannon, Chad	42	2013	Baseball Player
actor	Capallo, Tom	42	2013	Baseball Player
actor	Chancey, Nate	42	2013	Baseball Player
actor	Clark, Matt	42	2013	Luther
